Canada,USA
Mexico,USA
SaudiArabia,NorthHormuz
SaudiArabia,YanbuEWP
Nigeria,USA
Venezuela,USA
Iraq,NorthHormuz
Iraq,AbqaiqEWP
Angola,USA
Colombia,USA
Colombia,PanamaCanalWest
Algeria,StraitofGibraltarEast
Russia,DanishStraitsEast
Russia,TurkishStraitsNorth
Brazil,USA
Ecuador,USA
Ecuador,PanamaCanalWest
Ecuador,TPPWest
Kuwait,NorthHormuz
Kuwait,AbqaiqEWP
NorthHormuz,SouthHormuz
SouthHormuz,USA
SouthHormuz,StraitofBabelMandebSouth
SouthHormuz,StraitofMalaccaWest
SouthHormuz,LombokandMakassarStraits
StraitofMalaccaWest,StraitofMalaccaEast
StraitofMalaccaEast,USA
StraitofBabelMandebNorth,SuezCanalSouth
StraitofBabelMandebNorth,SuMedSouth
StraitofBabelMandebSouth,StraitofBabelMandebNorth
StraitofBabelMandebNorth,StraitofBabelMandebSouth
SuezCanalSouth,SuezCanalNorth
SuezCanalNorth,StraitofGibraltarEast
StraitofGibraltarEast,StraitofGibraltarWest
TurkishStraitsNorth,TurkishStraitsSouth
TurkishStraitsSouth,StraitofGibraltarEast
PanamaCanalWest,PanamaCanalEast
PanamaCanalEast,USA
DanishStraitsEast,DanishStraitsWest
DanishStraitsWest,USA
LombokandMakassarStraits,USA
StraitofGibraltarWest,USA
AbqaiqEWP,YanbuEWP
YanbuEWP,SuezCanalSouth
YanbuEWP,SuMedSouth
SuMedSouth,SuMedNorth
SuMedNorth,StraitofGibraltarEast
TPPWest,TPPEast
Start,Canada
Start,Mexico
Start,SaudiArabia
Start,Nigeria
Start,Venezuela
Start,Iraq
Start,Angola
Start,Colombia
Start,Algeria
Start,Russia
Start,Brazil
Start,Ecuador
Start,Kuwait
USA,Start
YanbuEWP,StraitofBabelMandebNorth
StraitofBabelMandebSouth,USA
